id	multi	contrast	logFC	PValue	FDR	peptide_ids	phospho_ids	proteins	protein	gene_name	protein_names	sequence_length	n_razor_unique	reverse	contaminant
152	1	Gib-WT	0.743	1.03e-7	7.05e-6	1243;26776;29597	NA	Q8IZQ5;A0A087WYP2;H0YE28	Q8IZQ5;A0A087WYP2	SELH;C11orf31	Selenoprotein H	122	3	NA	NA
156	1	Gib-WT	0.191	0.0767	0.111	2780;3610;4140;9544;10854;14207;19903;22250;31811;36027;42615;42616;43306;45409;57332	144;8759	A0A087WZ13;E9PAU2;K7EKR9;K7EQG2	A0A087WZ13;E9PAU2	RAVER1	NA	739	15	NA	NA
157	1	Gib-WT	-0.309	1.42e-5	1.11e-4	4536;12044;22405;25744;44094;45945;48276;50256;55148;56908;58818	145;146	A0A087X0J3;A0A087WZ15;E9PDI2;P40123;B7Z385;F8WDB9	A0A087X0J3;A0A087WZ15;E9PDI2;P40123;B7Z385	CAP2	Adenylyl cyclase-associated protein;Adenylyl cyclase-associated protein 2	394	10	NA	NA
164	1	Gib-WT	0.0814	0.159	0.208	4049;45520;53065;59782	NA	A0A087WZD4;K7ENL9;Q96DM3;K7EIS6;K7EL80;K7EQJ3;K7EQ65	A0A087WZD4;K7ENL9;Q96DM3;K7EIS6;K7EL80;K7EQJ3;K7EQ65	C18orf8	Uncharacterized protein C18orf8	561	4	NA	NA
165	1	Gib-WT	0.0879	0.162	0.211	3547;8062;11204;20769;31622;33266;42478;42598;46885;57422	150;151	A0A087WZG4;A0A590UK10;A0A3B3IPE9;Q6ZSZ5;M0QZS0	A0A087WZG4;A0A590UK10;A0A3B3IPE9;Q6ZSZ5;M0QZS0	ARHGEF18	Rho guanine nucleotide exchange factor 18	1173	10	NA	NA
167	1	Gib-WT	0.423	6.58e-6	6.82e-5	7538;12085;12487;13000;18916;22543;27121;30194;37558;50139;54575	NA	A0A087WZK9;B3KS98;O15372;E5RJT0;E5RGU4;E5RHC7;E5RH59;E5RFW7;E5RFH0	A0A087WZK9;B3KS98;O15372;E5RJT0	EIF3H	Eukaryotic translation initiation factor 3 subunit H	349	11	NA	NA
171	1	Gib-WT	0.0432	0.369	0.433	144;8840;14671;16196;18866;21986;29967;37101;47730	NA	A0A087WZN1;O43837;A0A087X2E5;A0A0D9SG66	A0A087WZN1;O43837;A0A087X2E5	IDH3B	"Isocitrate dehydrogenase [NAD] subunit, mitochondrial;Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial"	387	9	NA	NA
172	1	Gib-WT	0.163	0.113	0.155	302;450;7584;22159;38428;40331;47109	155;156;157;158	A0A087WZT0;M0QZ22;Q5PRF9;M0R0X3;M0QY61	A0A087WZT0;M0QZ22;Q5PRF9;M0R0X3	SAMD4B	Protein Smaug homolog 2	663	7	NA	NA
173	1	Gib-WT	0.146	0.0113	0.0212	8409;17846;22803	NA	A0A087WZT2;Q6UX53	A0A087WZT2;Q6UX53	METTL7B	Methyltransferase-like protein 7B	276	3	NA	NA
174	1	Gib-WT	0.486	5.87e-5	3.09e-4	8373;34343;52048;56454	NA	A0A087WZT3;Q9H3K6;H3BV85;H3BTW0;A0A0B4J295	A0A087WZT3;Q9H3K6;H3BV85;H3BTW0;A0A0B4J295	BOLA2;BOLA2B	BolA-like protein 2	152	4	NA	NA
175	1	Gib-WT	-0.342	2.86e-6	3.97e-5	5304;9375;16626;29893;30783;34005;45493;52627;53163;57084;57091;57412;58429;58604;59179	159;160;161	A0A087WZV0;O43314;D6RBU4;A0A087WWN8;D6RFG4	A0A087WZV0;O43314	PPIP5K2	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	1278	15	NA	NA
176	1	Gib-WT	0.0319	0.595	0.652	8672;31430;31730;44979;49419;50504;57590	NA	J3KPF9;A0A087X011;E9PES4;Q9Y496;C9J9X2;H7C2F6	J3KPF9;A0A087X011;E9PES4;Q9Y496	KIF3A	Kinesin-like protein;Kinesin-like protein KIF3A	702	6	NA	NA
177	1	Gib-WT	-0.25	1.51e-4	6.25e-4	7974;10092;10093;12714;16858;18979;18980;21375;23518;27058;42868;43502;46037	NA	Q9Y3A5;A0A087X020;F8WE72	Q9Y3A5;A0A087X020	SBDS	Ribosome maturation protein SBDS	250	13	NA	NA
180	1	Gib-WT	-0.281	0.00101	0.00279	25678;33626;54373	NA	G3V2W9;A0A087X060;Q56P03	G3V2W9;A0A087X060;Q56P03	EAPP	E2F-associated phosphoprotein	205	3	NA	NA
183	1	Gib-WT	-0.358	0.0213	0.0367	8103;28179;47498;51142;53070	NA	A0A087X0G5;Q8IZL2	A0A087X0G5;Q8IZL2	MAML2	Mastermind-like protein 2	986	5	NA	NA
185	1	Gib-WT	0.112	0.0137	0.0251	1249;2906;12474;12475;15423;26573;28514;28643;30100;30624;32106;32147;35812;43180;44814;49814;51729;51747;51867;53862;54890;57026;60682	167;168	A0A087X0H9;Q5T8P6;E2PSN0	A0A087X0H9;Q5T8P6	RBM26	RNA-binding protein 26	1009	23	NA	NA
188	1	Gib-WT	0.148	7.77e-4	0.00226	1024;1303;1687;2871;5648;7106;8995;9235;10212;10817;11348;11423;11776;12327;12931;14303;15038;16490;18775;19390;22523;23387;24126;26470;27026;29720;33160;33745;41496;45325;48123;48239;49329;53564;53828;56656;56850;57062;59305	169;170;171;172;173;174;175;176;177	A0A087X0K9;G3V1L9;Q07157;A0A0G2JNH2;A0A7I2V5U5;G5E9E7;H0YKB1;H0Y3R8	A0A087X0K9;G3V1L9;Q07157;A0A0G2JNH2;A0A7I2V5U5;G5E9E7	TJP1	Tight junction protein ZO-1	1768	39	NA	NA
189	1	Gib-WT	-0.208	0.00108	0.00295	5292;12246;28835;38037;42113;58035	NA	A0A087X0L7;J3KNA0;Q15070;E7EVY0;C9JC63	A0A087X0L7;J3KNA0;Q15070;E7EVY0	OXA1L	Mitochondrial inner membrane protein OXA1L	435	6	NA	NA
190	1	Gib-WT	0.416	2.09e-5	1.45e-4	4120;10718;12403;13675;28153;28357;33358;35519;41722;45744;53441;55653;60121	178	A0A087X0M4;Q9BWU0;H7C256;A0A087WWF4	A0A087X0M4;Q9BWU0	SLC4A1AP	Kanadaptin	742	13	NA	NA
193	1	Gib-WT	-0.257	0.272	0.332	32472;39325;43947;50877;53397	179;180	A0A087X0N3;Q96MY1;A0A087WTU5;A0A1W2PQU1;K7EQ17	A0A087X0N3;Q96MY1;A0A087WTU5	NOL4L	Nucleolar protein 4-like	680	5	NA	NA
195	1	Gib-WT	-0.197	2.63e-4	9.5e-4	4033;5031;19925;32216;50465;52704;59039	181;182	O15550;A0A6Q8PG92;A0A6Q8PHB6;F8W8R6;A0A6Q8PFK0;F5H6S1;A0A6Q8PG32;F5H5V6;A0A6Q8PGN0;A0A6Q8PFD0;A0A6Q8PHJ0;A0A087X0R0;H0Y6I7;A0A087X248;A0A096LPD8;F5H3N7;A0A087X2I9;F5GWV3;A0A087X0Y2;O14607;F5H8B4;A0A6Q8PGG6;A0A087WUN6;A0A6Q8PH94	O15550;A0A6Q8PG92;A0A6Q8PHB6;F8W8R6;A0A6Q8PFK0;F5H6S1;A0A6Q8PG32;F5H5V6;A0A6Q8PGN0;A0A6Q8PFD0;A0A6Q8PHJ0;A0A087X0R0;H0Y6I7;A0A087X248;A0A096LPD8;F5H3N7;A0A087X2I9;F5GWV3;A0A087X0Y2;O14607;F5H8B4	KDM6A;UTY	Lysine-specific demethylase 6A;Histone demethylase UTY	1401	7	NA	NA
197	1	Gib-WT	-0.74	6.33e-8	5.6e-6	20014;21878;31264;42359;49998;54424;55263	NA	A0A087X0S5;P12109	A0A087X0S5;P12109	COL6A1	Collagen alpha-1(VI) chain	1026	7	NA	NA
199	1	Gib-WT	0.0569	0.507	0.568	736;1195;5115;7857;19939;20696	NA	A0A087X0W7;Q86TX2;G3V4F2;A0A087WT95;P49753;A0A2R8Y7H3	A0A087X0W7;Q86TX2;G3V4F2;A0A087WT95;P49753	ACOT2;ACOT1	"Acyl-coenzyme A thioesterase 1;Acyl-coenzyme A thioesterase 2, mitochondrial"	421	6	NA	NA
200	1	Gib-WT	0.149	0.0178	0.0315	7660;8414;13676;21290;25910;32488;42241;44048;48196;52480	183	Q2TAM5;E9PKH5;A0A087X0W8;Q04206;E9PI38;E9PQS6;E9PKV4;A0A087WVP0;E9PMD5;E9PJR1;E9PRX2;E9PNV4;E9PJZ9;E9PM47;E9PNK5;E9PN69	Q2TAM5;E9PKH5;A0A087X0W8;Q04206;E9PI38;E9PQS6;E9PKV4;A0A087WVP0	RELA	Transcription factor p65	377	10	NA	NA
201	1	Gib-WT	0.277	1.02e-4	4.69e-4	2707;6941;23295;23742;34355;40596	NA	Q8N6M0;A0A087X0W9;A0A0C4DH76	Q8N6M0;A0A087X0W9	OTUD6B	OTU domain-containing protein 6B	293	6	NA	NA
206	1	Gib-WT	-0.165	0.0357	0.0573	20141;33831;36195;41884	NA	A0A087X169;Q5T6S3;X6RER8;B0QZ72;B0QZ50;F5H8K3	A0A087X169;Q5T6S3;X6RER8;B0QZ72	PHF19	PHD finger protein 19	599	4	NA	NA
208	1	Gib-WT	-0.248	0.0113	0.0212	34790;37240;45288	NA	P54252;A0A2R8Y3X7;F5H211;G3V3R7;A0A087X1A8;D3VVH9;A0A0A0MS38;C9JQV6;A0A087WXY4;G3V4U9;G3V4F5;G3V4F4;G3V5H3;S4R399;G3V328;G3V2G1;G3V3A6;D3VVP3;E9PJN5;G3V2G2;G3V3T6;G3V3S5;G3V390;G3V4B1;D6R9I5;G3V3T0;Q9H3M9;G3V526	P54252;A0A2R8Y3X7;F5H211;G3V3R7;A0A087X1A8;D3VVH9;A0A0A0MS38;C9JQV6;A0A087WXY4;G3V4U9;G3V4F5;G3V4F4;G3V5H3;S4R399;G3V328	ATXN3	Ataxin-3	361	3	NA	NA
209	1	Gib-WT	0.166	6.5e-4	0.00194	4408;4822;10882;13504;20399;41653;43655;48910	185	A0A087X1B1;Q9Y6K9;A0A087X0G7;A0A087WUW6;A0A087WV30;C9JN51;C9JH59	A0A087X1B1;Q9Y6K9;A0A087X0G7;A0A087WUW6	IKBKG	NF-kappa-B essential modulator	418	8	NA	NA
211	1	Gib-WT	0.0631	0.244	0.303	738;23205;29973;30078;47404;50440;52118;58608	NA	P53365;A0A087X1E4;E9PRV8	P53365;A0A087X1E4	ARFIP2	Arfaptin-2	341	8	NA	NA
213	1	Gib-WT	-0.103	0.022	0.0376	8638;22983;31046;54243;60261	NA	A0A087X1N3;O75818;X6RLL4;F8WC38	A0A087X1N3;O75818;X6RLL4	RPP40	Ribonuclease P protein subunit p40	321	5	NA	NA
214	1	Gib-WT	0.352	0.127	0.171	3014;10418;28536;36429;37720;37999;39150;46115	187	A0A087X1N7;P20929;H0Y786;H0Y3P5;H7BZD5	A0A087X1N7;P20929;H0Y786	NEB	Nebulin	8560	8	NA	NA
220	1	Gib-WT	-0.305	1.26e-4	5.41e-4	11232;12149;18000;44468;45175	NA	A0A087X1W8;A0A0A0MTJ8;X5DQS5;Q9BY67;A0A087X0T8;F5H8J9;F5H125;F5H0H5;H0YG94	A0A087X1W8;A0A0A0MTJ8;X5DQS5;Q9BY67;A0A087X0T8	CADM1	Cell adhesion molecule 1	412	5	NA	NA
221	1	Gib-WT	0.0035	0.929	0.942	12342;17785;22670;51426;52419	NA	A0A0G2JQX1;A0A0G2JPW5;A0A0G2JSA7;A0A087X1Z1;Q96RT8;A0A0G2JR45;A0A0G2JRG1;A0A0G2JS51;A0A087WVZ8;A0A0G2JQK2;A0A087WVL9;A0A087X006	A0A0G2JQX1;A0A0G2JPW5;A0A0G2JSA7;A0A087X1Z1;Q96RT8	TUBGCP5	Gamma-tubulin complex component 5	1024	5	NA	NA
222	1	Gib-WT	-0.204	0.00567	0.0118	3734;4228;7200;24181;54785	NA	H0YM70;A0A087X1Z3;Q9UL46;H0YKU2	H0YM70;A0A087X1Z3;Q9UL46	PSME2	Proteasome activator complex subunit 2	228	5	NA	NA
223	1	Gib-WT	-0.315	5.89e-4	0.00179	3234;44029;49284;50581;54466	NA	A0A087X208;A0A494C0G5;A0A494C1I6;O00468	A0A087X208;A0A494C0G5;A0A494C1I6;O00468	AGRN	Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment	1930	5	NA	NA
224	1	Gib-WT	-0.307	1.67e-5	1.24e-4	4742;5307;8651;22943;23122;24087;27814;30016;32672;32978;44764;54091	NA	A0A087X211;Q8TCG1;F8WAX6;F8WF26	A0A087X211;Q8TCG1	KIAA1524	Protein CIP2A	906	12	NA	NA
227	1	Gib-WT	-0.278	6.65e-6	6.83e-5	2715;11973;33712;41681;46027;53059;54535	NA	Q2M389;A0A087X256;F8VYH7	Q2M389;A0A087X256	KIAA1033	WASH complex subunit 7	1173	7	NA	NA
230	1	Gib-WT	-0.00754	0.815	0.845	5891;6292;20095;20116;20393;34560;40370;55635;57097	NA	E9PDU5;A0A087X295;Q9NNW5;E9PBK6;C9K020;V9GZ65;C9JFP6;V9GYU1;Q6PKC6	E9PDU5;A0A087X295;Q9NNW5	WDR6	WD repeat-containing protein 6	1070	9	NA	NA
231	1	Gib-WT	0.0715	0.0811	0.117	2304;10407;12033;17683;25021;32066;41087;46059;58826	NA	A0A087X2D5;Q9BRJ2;A0A0G2JMS5;A0A087WU62	A0A087X2D5;Q9BRJ2;A0A0G2JMS5;A0A087WU62	MRPL45	"39S ribosomal protein L45, mitochondrial"	306	9	NA	NA
233	1	Gib-WT	-0.196	4.54e-4	0.00145	4189;4841;5981;9910;12217;18579;21104;21482;26497;27412;28959;29094;32393;34172;34765;35404;40172;44734;45001;48666;49062;49248;50011;53871;57542	196;197;198	A0A087X2H1;Q9ULT8;G3V4V5;H0YJP0;H0YJD4;A0A087WVU6;H0YJ72	A0A087X2H1;Q9ULT8;G3V4V5;H0YJP0	HECTD1	E3 ubiquitin-protein ligase HECTD1	2614	25	NA	NA
234	1	Gib-WT	0.0339	0.294	0.356	1045;5883;15693;17498;18392;24708;24743;27518;33245;35412;38537;55391;58177	NA	A0A087X2I1;P62333;H0YJC0;H0YJS8;H0YJX2	A0A087X2I1;P62333	PSMC6	26S protease regulatory subunit 10B	403	13	NA	NA
236	1	Gib-WT	-0.206	1.91e-4	7.46e-4	2855;6008;7630;7863;17362;17611;21596;27620;28364;31866;38751;38861;41139;47292;47293;47884;48087;49470;51587;53447;54203;59539	NA	A0A096LNH6;Q14185	A0A096LNH6;Q14185	DOCK1	Dedicator of cytokinesis protein 1	1886	21	NA	NA
240	1	Gib-WT	-0.0604	0.164	0.214	6967;36818;40544;60273;60540	NA	A0A096LNV3;A0A096LP02;Q9Y508;A0A096LNT1;A0A096LNN8;A0A096LPF9	A0A096LNV3;A0A096LP02;Q9Y508	RNF114	E3 ubiquitin-protein ligase RNF114	188	5	NA	NA
242	1	Gib-WT	0.0764	0.0842	0.12	2400;4154;5810;11181;14493;15000;17394;19642;20193;23695;25308;30449;33758;33812;35267;39186;41444;42825;44276;48499;49181;55002;55499;59993	202;203;204;205;8769;8770	A0A096LP25;Q2M2I8;E9PG46;A0A096LNZ0;Q6ZSR9;A0A096LP60	A0A096LP25;Q2M2I8;E9PG46	AAK1	AP2-associated protein kinase 1	1163	24	NA	NA
245	1	Gib-WT	-0.118	0.00341	0.00769	15924;21047;21944;22910;37600;38644;56086;58773	NA	A0A096LPI6;A0A096LNH5;P0DPI2;A0A0B4J2D5;H7C2G3;H7C1F6;A0A096LP73;A0A2R8YDR7;F2Z2Q0;A0A096LP12;A0A096LNJ1;A0A2R8Y6K9	A0A096LPI6;A0A096LNH5;P0DPI2;A0A0B4J2D5;H7C2G3;H7C1F6	C21orf33	NA	279	7	NA	NA
247	1	Gib-WT	0.549	1.18e-7	7.31e-6	271;2252;18366;33259;33260;45966;48938;51147	NA	A0A0A0MQR2;Q9BY42;A2A2L5;A2A2L6	A0A0A0MQR2;Q9BY42;A2A2L5	RTFDC1	Protein RTF2 homolog	336	8	NA	NA
248	1	Gib-WT	0.0903	0.19	0.243	3389;11933;41963;51484	NA	A0A0A0MQR7;P19388;A0A087WWX0;A0A087WVZ9;A0A087WVN5	A0A0A0MQR7;P19388;A0A087WWX0;A0A087WVZ9;A0A087WVN5	POLR2E	"DNA-directed RNA polymerases I, II, and III subunit RPABC1"	204	4	NA	NA
249	1	Gib-WT	0.185	0.0232	0.0394	6039;11896;21272;27103;35609;48820	NA	A0A0A0MQS0;F8W9L8;A8MW92;A8MUE8;A8MXR8;E9PM57;H0YC05;E5RK91;A0A0D9SG14	A0A0A0MQS0;F8W9L8;A8MW92;A8MUE8;A8MXR8;E9PM57	PHF20L1	PHD finger protein 20-like protein 1	991	6	NA	NA
250	1	Gib-WT	0.262	5.03e-4	0.00157	739;34802;44718;54800	NA	A0A0A0MQS1;Q53H96;B5MD87;F8WEI0	A0A0A0MQS1;Q53H96;B5MD87	PYCRL	Pyrroline-5-carboxylate reductase;Pyrroline-5-carboxylate reductase 3	286	4	NA	NA
251	1	Gib-WT	0.239	1.66e-4	6.67e-4	2585;5081;28346;34041;35423;42732;48033;48917;50764	218;219;220;221	F5H0Q6;A0A0A0MQS2;Q8N2M8;K7EM61;K7EP11	F5H0Q6;A0A0A0MQS2;Q8N2M8	CLASRP	CLK4-associating serine/arginine rich protein	655	9	NA	NA
252	1	Gib-WT	-0.506	2.43e-5	1.61e-4	20711;28693;45801	NA	A0A0A0MTC7;A0A0A0MQS9;Q16363;H0Y351;H0YAQ5;E5RFQ2;A0A494C139	A0A0A0MTC7;A0A0A0MQS9;Q16363;H0Y351;H0YAQ5;E5RFQ2	LAMA4	Laminin subunit alpha-4	1816	3	NA	NA
253	1	Gib-WT	0.0772	0.366	0.43	252;19618;29573;36877;39618	222	A0A0A0MQU4;Q96I15;H7C1N7;H7C3V9;H7C280;H7C4A1;H7C277	A0A0A0MQU4;Q96I15;H7C1N7;H7C3V9	SCLY	Selenocysteine lyase	453	5	NA	NA
255	1	Gib-WT	-0.0276	0.311	0.373	1799;11372;15659;16421;18381;42818;49531	226	A0A0A0MQW0;A0A0A0MR39;Q9P2K5;A0A087WUT0;A0A087WWC8;H0YN19;H0YKS1;A0A0C4DGV1	A0A0A0MQW0;A0A0A0MR39;Q9P2K5;A0A087WUT0	MYEF2	Myelin expression factor 2	576	7	NA	NA
257	1	Gib-WT	0.238	4.43e-4	0.00142	21652;37763;44400;55668;58718;59367;59841	NA	H7C4T5;C9JP00;A0A0A0MQX8;Q9NR56;O95205;Q5VZF2;B1AKI6;Q86VM6;Q9NUK0;C9J4T8;C9JCX1;H7C4Y1	H7C4T5;C9JP00;A0A0A0MQX8;Q9NR56;O95205;Q5VZF2	MBNL1;MBLL;MBNL2	Muscleblind-like protein 1;Muscleblind-like protein 2	329	7	NA	NA
259	1	Gib-WT	0.0483	0.598	0.655	33868;33869;33949;44403;51061;51629;56652;56653;57703;60263	228	A0A0A0MR02;P45880;Q5JSD2;Q5JSD1;A2A3S1	A0A0A0MR02;P45880;Q5JSD2;Q5JSD1	VDAC2	Voltage-dependent anion-selective channel protein 2	282	10	NA	NA
268	1	Gib-WT	0.0347	0.585	0.642	2946;2947;4292;10226;10852;22355;23007;28628;36481;37903;38818;39977;40207;41287;42548;45535;50384;58735;60048	235;236;237	A0A0A0MRA5;B7Z4B8;Q9BUJ2;M0R3F1;M0QYZ0;M0R203;M0QZV6;M0R0K8;M0QYI8;M0QYM5	A0A0A0MRA5;B7Z4B8;Q9BUJ2;M0R3F1;M0QYZ0	HNRNPUL1	Heterogeneous nuclear ribonucleoprotein U-like protein 1	766	19	NA	NA
270	1	Gib-WT	-0.316	3.22e-5	1.98e-4	5685;8686;9638;10678;12728;17131;21764;23210;28208;28291;29038;31057;31473;39747;43664;47672;47886;48181;48521;52923;58928;59928	240;241;242;243;244;8779;8780	A0A0A0MRB5;Q8WXG6;F8W8U2;C9J6B0;A0A0U1RR25;C9JM97;C9JLZ9;C9K0L0	A0A0A0MRB5;Q8WXG6	MADD	MAP kinase-activating death domain protein	1588	22	NA	NA
273	1	Gib-WT	0.0418	0.176	0.227	3178;5992;6373;12599;19096;29746;29888;32759;36586;37532;37984;42135;48790;57635;58723;59545	246	A0A0A0MRE1;B4DJ07;A0A0A0MSB8;Q9UPT5;C9JME6;B5MCY9;K7ERQ5;C9JKC2	A0A0A0MRE1;B4DJ07;A0A0A0MSB8;Q9UPT5	EXOC7	Exocyst complex component 7	617	16	NA	NA
274	1	Gib-WT	-0.209	0.0144	0.0262	5341;5798;8350;13625;26377;29017;30181;33333;35208;35209;36894;40813;41769	247	G3V5X4;A0A0A0MRE3;A0A669KB61;A0A669KBG2;G3V3D4;G3V4T3	G3V5X4;A0A0A0MRE3	SYNE2	NA	6818	13	NA	NA
275	1	Gib-WT	-0.102	0.0196	0.0343	8624;20858;28664;28912;39566;45903;48062;50706;51968	248;249;250;251;252;8782	H0YBF7;A0A0A0MRE5;Q9ULH1;H0YBM4;E5RFD9	H0YBF7;A0A0A0MRE5;Q9ULH1;H0YBM4	ASAP1	"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1"	950	9	NA	NA
276	1	Gib-WT	-0.0749	0.632	0.686	9763;33899;40974;46715;49975	NA	A0A0A0MRE6;O94967;E9PKZ6;E9PR96	A0A0A0MRE6;O94967	WDR47	WD repeat-containing protein 47	893	5	NA	NA
277	1	Gib-WT	0.0994	0.0151	0.0273	1276;1479;1518;3480;4741;5716;6471;7901;8884;9681;11885;12023;13041;14473;14686;14812;15256;15320;16244;18040;18767;22673;24786;25754;29492;29752;31192;32746;32748;32983;33256;33632;33890;34794;35838;38130;39463;40704;40930;41521;41612;41817;41935;42006;42554;42555;44750;44869;45976;46916;48407;50499;52701;55087;57646	253	A0A0A0MRF6;Q99996;H7BYL6;A0A6I8PUD8;A0A2R8Y590;Q6PJH3;H7BZV6	A0A0A0MRF6;Q99996	AKAP9	A-kinase anchor protein 9	3931	55	NA	NA
278	1	Gib-WT	0.341	0.00362	0.0081	12956;16355;34566	8783;8784	P16885;A0A0A0MRF9;H3BPZ3	P16885;A0A0A0MRF9	PLCG2	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2;Phosphoinositide phospholipase C"	1265	3	NA	NA
279	1	Gib-WT	-0.521	1.16e-5	9.65e-5	6071;16583;35236;42567;50634;55078;59816	NA	A0A0A0MRG2;E9PG40;P05067;H7C0V9;H7C2L2	A0A0A0MRG2;E9PG40;P05067	APP	Amyloid beta A4 protein;N-APP;Soluble APP-alpha;Soluble APP-beta;C99;Beta-amyloid protein 42;Beta-amyloid protein 40;C83;P3(42);P3(40);C80;Gamma-secretase C-terminal fragment 59;Gamma-secretase C-terminal fragment 57;Gamma-secretase C-terminal fragment 50;C31	660	7	NA	NA
281	1	Gib-WT	-0.212	6.32e-5	3.28e-4	7426;8068;8222;11125;12067;13415;17347;18064;19711;20721;22289;36083;40627;41200;42424;46039;46861;46862;51690;57601	254;255;256	A0A0A0MRJ0;Q5VT25;H0Y5V1;H0Y7V8;A0A0A0MRJ1;H0Y6V3;H0Y6R0	A0A0A0MRJ0;Q5VT25;H0Y5V1;H0Y7V8;A0A0A0MRJ1	CDC42BPA	Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase MRCK alpha	1699	20	NA	NA
282	1	Gib-WT	0.0137	0.683	0.732	5868;9891;20897;32611;37969;38196;40713;41257;41307;45826;46052;46942;49561;53018;54290;59516;60268	257;258;259;260;261;262;263;264	A0A0A0MRJ3;Q8NEY1;H0Y6F6;H7BZD9;A0A2R8YFX5;Q8IVL0	A0A0A0MRJ3;Q8NEY1	NAV1	Neuron navigator 1	1830	17	NA	NA
283	1	Gib-WT	0.0427	0.239	0.298	7142;13754;13755;31043;35463;45519;55741;57087	NA	F6S8N6;A0A3F2YNX8;A0A0A0MRJ6;P22061;C9J0F2;H7C4X2;F8WDT3;F8WAV5;F8WAX2	F6S8N6;A0A3F2YNX8;A0A0A0MRJ6;P22061	PCMT1	Protein-L-isoaspartate O-methyltransferase;Protein-L-isoaspartate(D-aspartate) O-methyltransferase	250	8	NA	NA
284	1	Gib-WT	-0.0328	0.812	0.842	40379;52004;54675	265	J3QSX6;F8W8M4;A0A0A0MRL6;A0A3B3IS55;O14639;H0Y7N6;F6XFR5;A0A494C1P1;A0A494C1G0	J3QSX6;F8W8M4;A0A0A0MRL6;A0A3B3IS55;O14639;H0Y7N6;F6XFR5;A0A494C1P1;A0A494C1G0	ABLIM1	Actin-binding LIM protein 1	401	3	NA	NA
286	1	Gib-WT	-0.284	4.02e-6	4.9e-5	2421;3315;13347;16015;17757;20611;25213;36036;37227;40670;44604;48260;49630;53863;55039;56518;59941	NA	A0A0A0MRM8;A0A1Y0BRN3;A0A590UJ40;E7EW20;Q9UM54;A0A590UKB0;A0A590UJ75;A0A0D9SGC1;A0A590UK22;A0A590UK71;A0A5F9ZI03;A0A590UJY4;A0A590UK86;Q5JVM0;A0A590UJW9	A0A0A0MRM8;A0A1Y0BRN3;A0A590UJ40;E7EW20;Q9UM54;A0A590UKB0;A0A590UJ75;A0A0D9SGC1;A0A590UK22;A0A590UK71;A0A5F9ZI03;A0A590UJY4;A0A590UK86	MYO6	Unconventional myosin-VI	1253	17	NA	NA
287	1	Gib-WT	0.315	2.53e-5	1.65e-4	421;498;3996;9004;10725;11572;19453;19454;19888;21463;27724;28128;32624;33084;37295;38197;41485;46598;54086;54159;54160;55411;58301	268;269;270;271	A0A0A0MRM9;Q14978;S4R349;S4R3C2;S4R402;S4R341	A0A0A0MRM9;Q14978	NOLC1	Nucleolar and coiled-body phosphoprotein 1	708	23	NA	NA
288	1	Gib-WT	0.281	1.63e-5	1.22e-4	14991;21177;22178;28730;29943;31178;36142;41170;41996;53019;54377	272;273	A0A0A0MRP0;Q8IWC1	A0A0A0MRP0;Q8IWC1	MAP7D3	MAP7 domain-containing protein 3	802	11	NA	NA
289	1	Gib-WT	-0.382	1.98e-6	3.3e-5	4098;4175;7500;13838;16569;16995;22656;24055;26814;27484;29358;29486;30576;30955;31125;34956;36875;37206;37842;41953;42691;43728;47687;50791;55686;56181;59953	274;275	A0A0A0MRP6;B7ZLQ5;P28370	A0A0A0MRP6;B7ZLQ5;P28370	SMARCA1	Probable global transcription activator SNF2L1	1058	17	NA	NA
291	1	Gib-WT	0.236	0.282	0.342	17878;53257;58733	NA	P09234;A0A0A0MRR7;Q5TAL2	P09234;A0A0A0MRR7	SNRPC	U1 small nuclear ribonucleoprotein C	159	3	NA	NA
294	1	Gib-WT	-0.0562	0.107	0.148	3371;12793;27961;30672;51733;52257;54095;57911	279;280	B6VEX4;A0A0A0MRT6;Q8IZP0	B6VEX4;A0A0A0MRT6;Q8IZP0	ABI1	Abl interactor 1	393	6	NA	NA
295	1	Gib-WT	0.335	0.0012	0.00323	2424;52073;53928;54503;59807	281;282;8785	A0A0A0MRU0;B4DZ84;D3DX48;A0A0D9SFF8;D3DX49;A0A0C4DH75;Q14168;E5RJK0;E5RI32;E5RIU3;A0A087WVY2;E5RI47	A0A0A0MRU0;B4DZ84;D3DX48;A0A0D9SFF8;D3DX49;A0A0C4DH75;Q14168	MPP2	MAGUK p55 subfamily member 2	569	4	NA	NA
297	1	Gib-WT	0.267	1.61e-5	1.21e-4	1844;11118;14360;15244;15447;15836;17324;18292;20145;21067;28788;33101;51647;56837;56903	NA	A0A0A0MRW6;Q9H6R4	A0A0A0MRW6;Q9H6R4	NOL6	Nucleolar protein 6	1008	15	NA	NA
